0,saiu do sistema,16/6/2020,15:25:39,
0,saiu do sistema,16/6/2020,15:25:58,
0,saiu do sistema,16/6/2020,15:52:30,
0,saiu do sistema,16/6/2020,18:13:48,
0,saiu do sistema,16/6/2020,18:14:27,
0,saiu do sistema,16/6/2020,18:22:16,
0,saiu do sistema,16/6/2020,18:27:55,
0,saiu do sistema,16/6/2020,18:31:44,
2,saiu do sistema,16/6/2020,18:34:11,
1,leu logs de um usuario,16/6/2020,18:42:25,
1,fez logout,16/6/2020,18:42:25,
1,leu logs de um usuario,16/6/2020,18:44:6,
1,leu logs de um usuario,16/6/2020,18:48:58,
1,leu logs de um usuario,16/6/2020,18:49:14,
1,fez logout,16/6/2020,18:52:49,
3,saiu do sistema,16/6/2020,18:53:7,
